score,lang,repo,task_id,loc,files,tests,confidence,description,fix_commit,breakdown
69.5,Python,pebble,pebble__8bb31911389a,58,2,2,medium,"Investigate and fix edge issue indicated by commit 'More tests: visibility/session/dump-helper edge cases' in tests/unit/test_session_lookup.py, tests/unit/test",8bb31911389ae9af3adc23dd9bd1dcf64a1c0402,size=+25 files=+15 tests=+12 domain=+6 lang=+10 mining=+1.5
69.0,unknown,tableflow,tableflow__3aa74d9d6246,43,2,1,high,"Investigate and fix auth issue indicated by commit 'test(e2e): playwright config + auth flow (gate, form, forgot link)' in frontend/playwright.config.js.",3aa74d9d6246d224460f7c3c262b9ef1488203b6,size=+25 files=+15 tests=+12 domain=+6 lang=+0 mining=+11
69.0,Python,Faillink,faillink__e442678fd5d1,32,2,1,medium-high,Fix(scrapers): update ventes-publiques listing endpoint and selectors,e442678fd5d152ff1150c5e203b34c9f01cc30cc,size=+25 files=+15 tests=+12 domain=+0 lang=+10 mining=+7
69.0,JS/TS,notification-backend,notification-backend__bac58cb6dcf8,130,4,2,medium-high,"Investigate and fix validation issue indicated by commit 'feat(validation): envelope and topic guards' in src/validation/envelope.ts, src/validation/topic.ts.",bac58cb6dcf8e3cbd2ace14538f7cb1fb5ca4506,size=+18 files=+20 tests=+12 domain=+0 lang=+12 mining=+7
69.0,Python,repo-1,repo-1__1c7525fc2b17,55,2,1,medium-high,Investigate and fix decoder issue indicated by commit 'edex/airmet: wire decoder + add fixture' in src/awips2_ncep/edex/plugin/airmet/decoder.py.,1c7525fc2b1727807b6a1f84ee4afcfbe53e8770,size=+25 files=+15 tests=+12 domain=+0 lang=+10 mining=+7
69.0,Python,stock-news-sentiment,stock-news-sentiment__098593a9b56f,59,2,1,medium-high,"Fix SentimentTrainingPipeline: add from_dataframe, metrics, predict; store _vec; fix pipeline tests",098593a9b56f306ceea15132897778b5121c8bba,size=+25 files=+15 tests=+12 domain=+0 lang=+10 mining=+7
69.0,Python,verity,verity__d7f2b69e5c87,51,2,1,medium-high,"Investigate and fix validate issue indicated by commit 'feat: add Schema.validate(), from_dict(), and partial(); add basic schema tests' in verity/schema.py.",d7f2b69e5c8787be165f2bbd80a58822f6f96215,size=+25 files=+15 tests=+12 domain=+0 lang=+10 mining=+7
69.0,Python,WaveSmith,wavesmith__d1b2affb90e9,116,2,1,medium-high,"Fix(perf): optimize pitch detection and MFCC — FFT-based autocorrelation, sparse mel filterbank",d1b2affb90e9326bb11175e11aeae0a429cd2d15,size=+25 files=+15 tests=+12 domain=+0 lang=+10 mining=+7
68.5,unknown,godhand,godhand__550c995fb17c,72,4,2,high,Fix: restore lobby routing fallback and backend test stability,550c995fb17c4aa1491e09f42ab9d96fac3d14fa,size=+25 files=+20 tests=+12 domain=+0 lang=+0 mining=+11.5
68.5,Python,eventnexus,eventnexus__0ad7675b0c5d,48,2,2,medium-high,"Investigate and fix security issue indicated by commit 'Add date and security tests' in tests/test_date_utils.py, tests/test_security.py.",0ad7675b0c5d2f9ee1c535d388e40e6b0a05260d,size=+25 files=+15 tests=+12 domain=+0 lang=+10 mining=+6.5
68.5,Python,stockflow,stockflow__1b60d5d080a3,76,2,2,medium-high,"Investigate and fix security issue indicated by commit 'Add pricing model and security tests' in tests/test_pricing.py, tests/test_security.py.",1b60d5d080a3f4a81bfd9099175f321b6814d87c,size=+25 files=+15 tests=+12 domain=+0 lang=+10 mining=+6.5
68.0,JS/TS,whaler,whaler__806ee585855e,147,7,2,high,Fix(pi): prefill linked issue URL via env var to bypass paste-readiness race (#1477),806ee585855e265579b002ffdd5a884fe6817793,size=+18 files=+5 tests=+12 domain=+6 lang=+12 mining=+15
68.0,JS/TS,Sefarius,sefarius__65401db91b31,328,6,1,high,"Fix(auth): confirmReset auto-login + UX (toggle olho, regras de senha)",65401db91b312005330946c583b301fa665cb2a9,size=+5 files=+20 tests=+12 domain=+6 lang=+12 mining=+13
68.0,JS/TS,arcadia-interface,arcadia-interface__bd7d5e3dc82e,53,4,0,medium-high,Fix auth layout,bd7d5e3dc82e773c6bfe4ca45cd9b1b86d63f407,size=+25 files=+20 tests=-4 domain=+6 lang=+12 mining=+9
68.0,JS/TS,DexfinV3-backend,dexfinv3-backend__9aa304ea88ba,57,5,0,medium-high,Fix: ignore username for auth,9aa304ea88ba7444530e48ae5b4a9194e4f56a3c,size=+25 files=+20 tests=-4 domain=+6 lang=+12 mining=+9
68.0,JS/TS,DexfinV3-backend,dexfinv3-backend__f89850ec5553,57,5,0,medium-high,Fix: ignore username for auth,f89850ec55530d19a860124bcbf840cb5c33d832,size=+25 files=+20 tests=-4 domain=+6 lang=+12 mining=+9
68.0,JS/TS,MuzNet-mobile,muznet-mobile__502ccb0bf8b0,30,5,0,medium-high,Fix: change url for auth,502ccb0bf8b06c8dd0e48bd8e37ab8d628921a2c,size=+25 files=+20 tests=-4 domain=+6 lang=+12 mining=+9
68.0,Python,vaultpipe-repo,vaultpipe-repo__27eda5ea36f6,76,6,6,medium,"Investigate and fix validation issue indicated by commit 'test(core): cover vault access audit masking policy and validation' in tests/unit/test_audit_log.py, t",27eda5ea36f66610a88bfc8607c8f112e1d05c56,size=+25 files=+20 tests=+12 domain=+0 lang=+10 mining=+1
67.5,JS/TS,authentication-oidc,authentication-oidc__50454f23fdb7,202,9,2,high,"Fix(authorizer): break tf cycle properly, drop wildcard auth gateway slot",50454f23fdb775483f0a2209cf5ab6dc5d596816,size=+18 files=+5 tests=+12 domain=+6 lang=+12 mining=+14.5
67.5,Python,esim-platform,esim-platform__cf3c744fd939,65,5,0,medium-high,Fix: resolve serial port I/O error loop and concurrent access issues,cf3c744fd9391256a924a0e47864362c1635d836,size=+25 files=+20 tests=-4 domain=+6 lang=+10 mining=+10.5
67.5,JS/TS,3rd-brain-backend,3rd-brain-backend__fa95bde7ae87,50,5,0,medium-high,"Fix: braindump suggestion, async bug fixes, add more socket events",fa95bde7ae874ef4d5101503504aae46b46526d9,size=+25 files=+20 tests=-4 domain=+6 lang=+12 mining=+8.5
67.5,Python,servesync,servesync__8d21ff6061ed,131,6,1,medium-high,"Investigate and fix sanitize issue indicated by commit 'files: FileAsset + S3 helpers (sanitize filename, build key by venue/kind/date) + tests' in backend/apps",8d21ff6061ed448446ccfb3f28be32f1c5c76b6d,size=+18 files=+20 tests=+12 domain=+0 lang=+10 mining=+7.5
67.5,JS/TS,TidalScheduler,tidalscheduler__728e1cacaa61,389,5,1,medium-high,"Investigate and fix concurrency issue indicated by commit 'feat(semaphore): add counting semaphore for concurrency control' in src/concurrency/index.ts, src/con",728e1cacaa615be35eccd8f29753fd9f8e0a5caf,size=+5 files=+20 tests=+12 domain=+12 lang=+12 mining=+6.5
67.0,Python,meridian,meridian__44eeae0f868b,119,9,4,high,Fix infinite loop in simple_cycles and duplicate cycles in cycle_basis,44eeae0f868b6499e82c2ec4514aadd9fe902568,size=+25 files=+5 tests=+12 domain=+0 lang=+10 mining=+15
67.0,Python,WaveSmith,wavesmith__e438d777e942,144,6,1,medium-high,"Fix(perf): optimize resample, hilbert, core utilities — precompute windows, fix dead code, zip loops",e438d777e942c1b56f1d17f6ef84e2fd2105aa48,size=+18 files=+20 tests=+12 domain=+0 lang=+10 mining=+7
66.0,Python,repflow,repflow__0a1f78058353,78,4,0,medium-high,Fix bearer auth update error handler to show missing required feilds on error,0a1f78058353ff57093db3d974ec76dbeec0626c,size=+25 files=+20 tests=-4 domain=+6 lang=+10 mining=+9
66.0,JS/TS,propvault,propvault__ce639a079a8a,208,2,2,medium,"Investigate and fix auth issue indicated by commit 'test(repo): add coverage for auth test' in apps/api/tests/integration/auth.test.ts, apps/api/tests/integrati",ce639a079a8af5610704e150d8b31bf09b96dc4a,size=+18 files=+15 tests=+12 domain=+6 lang=+12 mining=+3
65.5,JS/TS,Sefarius,sefarius__6934d5d21c00,57,5,0,medium-high,Fix(security): close RF-01 leak in Go fallbacks + tighten NFE_DEV_MODE,6934d5d21c00893a8e789d85087ad26a412b0092,size=+25 files=+20 tests=-4 domain=+0 lang=+12 mining=+12.5
65.5,Python,genie-api,genie-api__2bb1a5638362,60,3,0,medium-high,"Investigate and fix fix, auth issue indicated by commit 'Revert ""Merge pull request #112 from GenieTheAI/fix/auth_env_fix""' in app/config.py, app/services/auth0",2bb1a56383629d18d2b72fcd8b6de23c344a1711,size=+25 files=+15 tests=-4 domain=+12 lang=+10 mining=+7.5
65.0,unknown,dineops,dineops__0646152b8e47,93,2,1,medium-high,"Investigate and fix precision issue indicated by commit 'common: money helpers (quantize per currency precision, to_cents/from_cents, split_evenly) + tests' in ",0646152b8e47234443cb6cdcd1afa3f5c9a50dc9,size=+25 files=+15 tests=+12 domain=+6 lang=+0 mining=+7
65.0,Python,PulseEngine,pulseengine__7054cd47cf13,100,7,2,medium-high,"Fix(perf): optimize state/router/aggregator — targeted expire, O(1) unsubscribe, merge-based compress",7054cd47cf13ac7cdc11ba1873d3b53be817dd9d,size=+25 files=+5 tests=+12 domain=+6 lang=+10 mining=+7
65.0,Python,PulseEngine,pulseengine__bad75ca56942,59,6,2,medium-high,"Fix(perf): optimize window/buffer/router — zero-copy peek, zero-alloc string compare, flush optimization",bad75ca569421abe8acdcf66dd68fd3ed729f90c,size=+25 files=+20 tests=+12 domain=-9 lang=+10 mining=+7
65.0,Python,PulseEngine_patched,pulseengine-patched__7054cd47cf13,100,7,2,medium-high,"Fix(perf): optimize state/router/aggregator — targeted expire, O(1) unsubscribe, merge-based compress",7054cd47cf13ac7cdc11ba1873d3b53be817dd9d,size=+25 files=+5 tests=+12 domain=+6 lang=+10 mining=+7
65.0,Python,PulseEngine_patched,pulseengine-patched__bad75ca56942,59,6,2,medium-high,"Fix(perf): optimize window/buffer/router — zero-copy peek, zero-alloc string compare, flush optimization",bad75ca569421abe8acdcf66dd68fd3ed729f90c,size=+25 files=+20 tests=+12 domain=-9 lang=+10 mining=+7
65.0,Java,vault-service,vault-service__52608cf0c6bb,42,3,1,medium-high,Investigate and fix fixed issue indicated by commit 'PRF-8744: added tests for bluefin util and fixed giftCardTemplateRef' in src/main/java/com/gap/customer/vau,52608cf0c6bb98e77f97b96676574295445a1a64,size=+25 files=+15 tests=+12 domain=+0 lang=+6 mining=+7
64.0,JS/TS,saige,saige__1f3af67bf1e8,97,4,0,medium-high,Fix: Add 'free' status support and prevent infinite license check loop,1f3af67bf1e886af0a5b50a37d3d984d46b8b722,size=+25 files=+20 tests=-4 domain=+0 lang=+12 mining=+11
64.0,JS/TS,pantry,pantry__db71cbed2b6e,153,2,1,medium-high,Investigate and fix canonical issue indicated by commit 'core/abbrev: canonical-form table for unit abbreviations' in src/core/abbrev.ts.,db71cbed2b6ea2d5046961361569e42023438390,size=+18 files=+15 tests=+12 domain=+0 lang=+12 mining=+7
64.0,JS/TS,pantry,pantry__f246bb8a3d7e,143,2,1,medium-high,"Investigate and fix parser issue indicated by commit 'importers/csv-parser: tiny CSV reader (quoted fields, BOM, CRLF)' in src/importers/csv-parser.ts.",f246bb8a3d7e3db3d455a2b95037752d468ba386,size=+18 files=+15 tests=+12 domain=+0 lang=+12 mining=+7
64.0,Python,ledge,ledge__9fc153612e0e,69,2,2,medium,"Investigate and fix parser issue indicated by commit 'tests: rules, rules_parser' in tests/test_rules.py, tests/test_rules_parser.py.",9fc153612e0efe3bd03dbb55d35c80cf560a34b7,size=+25 files=+15 tests=+12 domain=+0 lang=+10 mining=+2
63.5,JS/TS,LocalPay-System-and-API,localpay-system-and-api__436073122c93,268,3,1,high,Fixed the issue that woud cause in race condtion and reopining paid invocie by making them uni in qb constrinet,436073122c93abc145dc03d1b51028cab7e87318,size=+5 files=+15 tests=+12 domain=+6 lang=+12 mining=+13.5
63.5,JS/TS,graphkit,graphkit__25ebacd18c75,127,2,1,medium-high,"Investigate and fix path issue indicated by commit 'add path utilities: Eulerian, Hamiltonian, isSimplePath, allPaths, isCycle' in src/path.ts.",25ebacd18c757143ca01edbcc62bcf12bc7c0c6f,size=+18 files=+15 tests=+12 domain=+0 lang=+12 mining=+6.5
63.5,JS/TS,graphkit,graphkit__6363ce2ca293,132,2,1,medium-high,"Investigate and fix edge issue indicated by commit 'add serialization: JSON, DOT, adjacency list, edge list import and export' in src/serializer.ts.",6363ce2ca29328c197c630c16e42409540632882,size=+18 files=+15 tests=+12 domain=+0 lang=+12 mining=+6.5
63.5,JS/TS,graphkit,graphkit__e0e9e8fd1032,165,2,1,medium-high,"Investigate and fix path issue indicated by commit 'add shortest path: Dijkstra, Bellman-Ford, Floyd-Warshall, A*' in src/shortest_path.ts.",e0e9e8fd10324708b18e5eb99ea008cd38daa766,size=+18 files=+15 tests=+12 domain=+0 lang=+12 mining=+6.5
63.5,Python,bulwark,bulwark__71c6154c597e,208,2,1,medium,Investigate and fix decoder issue indicated by commit 'chunked: streaming Transfer-Encoding decoder with trailers and body cap' in src/bulwark/chunked.py.,71c6154c597e813c2d88aca46714ee69a7d2cff2,size=+18 files=+15 tests=+12 domain=+6 lang=+10 mining=+2.5
63.5,Python,nota,nota__8406c30116f3,90,2,2,medium,"Investigate and fix edge issue indicated by commit 'test: expand coverage for links, search, and edge cases' in tests/test_links.py, tests/test_search.py.",8406c30116f3b639cfd3a0f1af574b087cd5310f,size=+25 files=+15 tests=+12 domain=+0 lang=+10 mining=+1.5
63.0,JS/TS,LocalPay-System-and-API,localpay-system-and-api__9d4a66375ff3,104,4,0,medium-high,Fixed the sms validation faling to validate cbe photo orc text,9d4a66375ff371367db564d9819d4739fee860c2,size=+25 files=+20 tests=-4 domain=+0 lang=+12 mining=+10
63.0,JS/TS,openfield,openfield__2a94c5902900,62,2,0,medium-high,Fix RLS policies for auth,2a94c5902900e19aff72dcae40bc233062134a29,size=+25 files=+15 tests=-4 domain=+6 lang=+12 mining=+9
63.0,JS/TS,saige,saige__f5fa6a60fbfe,80,2,0,medium-high,Fixed permission request for users,f5fa6a60fbfe6eb3aabc7c0e5a91c4c8798b4a06,size=+25 files=+15 tests=-4 domain=+6 lang=+12 mining=+9
62.5,JS/TS,notification-backend,notification-backend__50a84551ceae,61,2,0,medium,"Investigate and fix concurrency issue indicated by commit 'feat(limits): rate limiter and concurrency gate' in src/limits/ConcurrencyGate.ts, src/limits/RateLim",50a84551ceae7370d646f7d2579b246bf85a9111,size=+25 files=+15 tests=-4 domain=+12 lang=+12 mining=+2.5
62.5,JS/TS,PRLens,prlens__b70983f528e2,84,2,0,medium,"Investigate and fix auth issue indicated by commit 'feat(auth): NextAuth GitHub provider with JWT sessions' in src/app/api/auth/[...nextauth]/route.ts, src/lib/",b70983f528e2514d73c48550066cac7275b71781,size=+25 files=+15 tests=-4 domain=+12 lang=+12 mining=+2.5
