rank,repo,language,candidates,strong(>=55),best_score,source_archive,example
1,worknest,JS/TS,3,3,86.0,project_silver_repos/9wPuGNy2ZjhG5wwvAAs7__worknest.zip,Investigate and fix auth issue indicated by commit 'test: Pl
2,whaler,JS/TS,3,3,85.5,project_silver_repos/oxneHL3CRifbHfhEpV09__whaler.zip,Fix(filesystem-auth): allow worktree access through macOS /v
3,vault-service,Java,3,3,82.5,project_silver_repos/4EFokkH8brdfoCQgA8jC__vault-service.zip,Investigate and fix timeout issue indicated by commit 'PRF-8
4,LocalPay-System-and-API,JS/TS,3,3,80.5,project_silver_repos/nGIkUIMl9OuYeQAh5XtC__LocalPay-System-and-API.zip,Fixed the issue that woud cause in race condtion and reopini
5,repflow-frontend,JS/TS,3,3,77.5,project_silver_repos/yXA0BqxjhUZ0KUQ7z40x__repflow-frontend.zip,Fix(auth): pick Cognito defaults from NEXT_PUBLIC_API_BASE_U
6,Sefarius,JS/TS,3,3,77.5,project_silver_repos/UMUsuLdxETQowOJrP247__Sefarius.zip,Fix(frontend): surface inline validation errors on stepper N
7,notification-backend,JS/TS,3,3,77.0,project_silver_repos/sa8Vxbnc2BSEFgnaeI7M__notification-backend.zip,Investigate and fix parser issue indicated by commit 'feat(i
8,PulseEngine,Python,3,3,75.0,project_silver_repos/BuyRNeaXb9ZONaC6zY8Y__PulseEngine.zip,Fix(perf): optimize state/router/aggregator — targeted expir
9,PulseEngine_patched,Python,3,3,75.0,project_silver_repos/BuyRNeaXb9ZONaC6zY8Y__PulseEngine_patched.zip,Fix(perf): optimize state/router/aggregator — targeted expir
10,kvu,Python,3,3,73.0,project_silver_repos/g0EA1lDTW8YS9tmA0LeT__kvu.zip,Fix(engine): add edge cases for zero-credit courses
11,pantry,JS/TS,3,3,71.0,project_silver_repos/vIvLKvQhtQGBmob11Pri__pantry.zip,Investigate and fix validate issue indicated by commit 'impo
12,servesync,Python,3,3,69.5,project_silver_repos/lqqGpMCoMa7neQ3PRLGY__servesync.zip,"Investigate and fix decode, encode issue indicated by commit"
13,WaveSmith,Python,3,3,69.0,project_silver_repos/qSt42eVmhZYB7ze74PjV__WaveSmith.zip,"Fix(perf): optimize transforms — FFT-based autocorrelation, "
14,TidalScheduler,JS/TS,3,3,67.5,project_silver_repos/bCVNHPPgpOlvJW18qWwG__TidalScheduler.zip,"Fix(perf): optimize persistence — Map-based edge storage, jo"
15,saige,JS/TS,3,3,64.0,project_silver_repos/IzodHGuZZGBQl8XeOJVS__saige.zip,Fixed notirization and build issues
16,graphkit,JS/TS,3,3,63.5,project_silver_repos/YobEA4vMqpMCNfkj9FZk__graphkit.zip,Investigate and fix path issue indicated by commit 'add path
17,saige2.0,JS/TS,3,3,61.5,project_silver_repos/O81Rlc5hXcFIRUIvn2la__saige2.0.zip,"Investigate and fix fix, bug issue indicated by commit 'secu"
18,containerctl,Go,3,3,58.0,project_silver_repos/yjLErScIYT4X7CgfAYwz__containerctl.zip,"Investigate and fix parse, decoder issue indicated by commit"
19,FlowQ,Python,3,2,99.0,project_silver_repos/HTNhvrcMMTlisfdZJgLV__FlowQ.zip,"Fix: resolve test isolation, timeout=None DB constraint, and"
20,ledgerlift,Python,3,2,79.0,project_silver_repos/8Ys4OhdfSzz331HzQ0ZT__ledgerlift.zip,"Investigate and fix auth, path issue indicated by commit 'te"
21,analytics-service,JS/TS,3,2,77.0,project_silver_repos/daK6vFWbcBwjsBaCuxhu__analytics-service.zip,Fix: correct API Gateway base path configuration for integra
22,Modelix-DataAnalytics,Python,3,2,75.5,project_silver_repos/pwDgDXpEDs9oTnwjdmPq__Modelix-DataAnalytics.zip,"Fix: Google OAuth end-to-end - route alias, cookie path, fet"
23,blog-writer-will,JS/TS,3,2,75.0,project_silver_repos/1ovoO9Ue5VPGZBLZLSuK__blog-writer-will.zip,Fix CSRF token in invite
24,nimbus,Python,3,2,73.5,project_silver_repos/OwE5VYrw5JdtILMqcl8m__nimbus.zip,Investigate and fix security issue indicated by commit 'api:
25,esim-platform,Python,3,2,72.5,project_silver_repos/s6LjMnkjGj85TwOqceqP__esim-platform.zip,Fix: resolve serial port I/O error loop and concurrent acces
26,credit-card-onboarding-service,JS/TS,3,2,71.0,project_silver_repos/KySuDnBe6Rr59YOjUZKq__credit-card-onboarding-service.zip,Fix: accept cashAdvance as number in ingestAggregator schema
27,arcadia-interface,JS/TS,3,2,68.0,project_silver_repos/AEeojmFX2iPVlhY3qEu5__arcadia-interface.zip,Fix auth
28,DexfinV3-backend,JS/TS,3,2,68.0,project_silver_repos/G3PD2NXrnDi0DKO9Aa4O__DexfinV3-backend.zip,FIX: get games without auth
29,vaultpipe-repo,Python,3,2,68.0,project_silver_repos/OzB7FQOck4I3FFY24qd2__vaultpipe-repo.zip,Investigate and fix auth issue indicated by commit 'feat(api
30,propvault,JS/TS,3,2,66.0,project_silver_repos/2DloJHdZd7TfZTQmp3nu__propvault.zip,"Investigate and fix validation, auth issue indicated by comm"
31,dineops,unknown,3,2,65.0,project_silver_repos/xg0lKcCrHWoZiD89Ro9Z__dineops.zip,Investigate and fix precision issue indicated by commit 'com
32,taskbeast,Python,3,2,61.0,project_silver_repos/vjzmiUA9sin4THKS8oCr__taskbeast.zip,Fixed login page toast error by updating router and auth log
33,management-bot,JS/TS,3,2,60.5,project_silver_repos/0GEqltSbrfCx4dSkMv2d__management-bot.zip,Fix(trialserver commands): fix ip column cache bug
34,solareum-bot,JS/TS,3,2,59.5,project_silver_repos/15IcnEjLpelYd69TCpGI__solareum-bot.zip,Fixed some bug in syncing raydium lp
35,Trimayafit-demo,JS/TS,3,2,59.0,project_silver_repos/6ve4cqGOOWxEZtCTU4qu__Trimayafit-demo.zip,Fix: Resolve infinite loading loop on dashboard filters
36,go-logistics-ops,unknown,3,2,58.5,project_silver_repos/t0Yo101vf1lgc66caESg__go-logistics-ops.zip,Fix(http): validate Content-Type on upload endpoints
37,lattice,Go,3,2,58.0,project_silver_repos/MB23sclvKuAn0RLTdVW1__lattice.zip,"Investigate and fix fix, panic issue indicated by commit 'pk"
38,AdvisoryStudioBot,JS/TS,3,2,56.5,project_silver_repos/Xr1S7BI7vtEO6z5dUqUR__AdvisoryStudioBot.zip,Fixed bug and added UAT settings
39,Bingo-game,JS/TS,3,2,56.0,project_silver_repos/rj8EMwNbxgcfyDgq3Mly__Bingo-game.zip,Fix: winner table
40,lecturn,JS/TS,3,1,83.5,project_silver_repos/XwTadDYsj4OsDyurZ3HC__lecturn.zip,Fix(player): route media through /stream proxy so the auth c
41,LatticeSync,JS/TS,3,1,81.5,project_silver_repos/JTeM7HFlxEboiW4qAQY7__LatticeSync.zip,Fix(sync): use sender-scoped message IDs in CausalBroadcast 
42,cobol-rekt,Java,3,1,81.0,project_silver_repos/xCbpL93WUoaPJtZCv9CO__cobol-rekt.zip,Fixing bug in TranspilerNode creation inside IF-THEN clauses
43,TaxscapeCursor,Python,3,1,81.0,project_silver_repos/s4aTwzcxad0h51IcczoJ__TaxscapeCursor.zip,Fix auth race condition on page refresh - add retry logic to
44,Smartbiometricsecurity,Python,3,1,81.0,project_silver_repos/c4BrdKoQWiPiSW1w7m5q__Smartbiometricsecurity.zip,Investigate and fix auth issue indicated by commit 'test(aut
45,repayment-service,JS/TS,3,1,75.5,project_silver_repos/UL8oMB1GmGgKChghMd26__repayment-service.zip,"Fix: restore paymentSuccessful endpoint, make CPA_ATTEMPT_LI"
46,LeapFrog-cards-service,Java,3,1,75.0,project_silver_repos/hSvK5VQNm7jCj4F2ccLI__LeapFrog-cards-service.zip,"Investigate and fix fix, validation issue indicated by commi"
47,brindle,Python,3,1,75.0,project_silver_repos/ersOkak2IghXoduO0tS1__brindle.zip,Fix(csv): strip UTF-8 BOM from Excel-exported files
48,voice-agent,JS/TS,3,1,74.5,project_silver_repos/tRrxR4IWLPYGqMUhNmOo__voice-agent.zip,"Fix login hang: remove auth init timeout, add timeouts to re"
49,bookz,Python,3,1,74.5,project_silver_repos/fhWLd7PLxSnLoaamhbia__bookz.zip,Fix: series add returns correct id; backup dump leaves BEGIN
50,runs,Python,3,1,74.0,project_silver_repos/I7iZVS7GwBncRFOtYjNt__runs.zip,"Fix: strava date parsing, vdot formula, test assertions"
51,ledgercore,Python,3,1,73.5,project_silver_repos/ViBjNvr7P9COpqMNBxl6__ledgercore.zip,Fix test fixtures for chart hierarchy and reports
52,ours,JS/TS,3,1,72.0,project_silver_repos/qICKbAVgcinihlgKjSgd__ours.zip,Fix(stream-info): truncate long payment handles to prevent o
53,personal-finance-agent,Python,2,1,72.0,project_silver_repos/g2u4ya1Xejb50xEyp9vg__personal-finance-agent.zip,"Investigate and fix auth, security issue indicated by commit"
54,nimbus-auction-core,JS/TS,3,1,71.0,project_silver_repos/TJYvoNZq4a8zaouBBXKZ__nimbus-auction-core.zip,Investigate and fix validation issue indicated by commit 'fe
55,pursa,Python,3,1,71.0,project_silver_repos/pags98mlAccqpzOaEz4i__pursa.zip,Investigate and fix security issue indicated by commit 'test
56,opiatalk-check,Java,3,1,70.0,project_silver_repos/5OrfryqoioMGYUJz5s4g__opiatalk-check.zip,Investigate and fix fix issue indicated by commit 'OP-1154 :
57,listeners,Java,3,1,69.5,project_silver_repos/spBqW3o4vqBH2MkI0r5p__listeners.zip,"Investigate and fix fix, null issue indicated by commit 'Uni"
58,ProjectHalos,Java,3,1,69.5,project_silver_repos/btrFAxPlZhM0NV3Xqrpi__ProjectHalos.zip,Fix(apikey): break the SecurityConfig <-> UserService cycle
59,pebble,Python,1,1,69.5,project_silver_repos/yqaHuD7oJ5Glmwwog7cY__pebble.zip,Investigate and fix edge issue indicated by commit 'More tes
60,Faillink,Python,3,1,69.0,project_silver_repos/NxE6li2ZRWge2lf447bz__Faillink.zip,Fix(api): validate alert id for test-email endpoints
61,repo-1,Python,3,1,69.0,project_silver_repos/2EEL1nubCwu3lWKAqsnx__repo-1.zip,Investigate and fix decoder issue indicated by commit 'edex/
62,stock-news-sentiment,Python,3,1,69.0,project_silver_repos/hznzVo4uUAXcdFUOW0XO__stock-news-sentiment.zip,"Fix SentimentTrainingPipeline: add from_dataframe, metrics, "
63,verity,Python,3,1,69.0,project_silver_repos/MXpn38SljWbQrUIjVnFP__verity.zip,"Investigate and fix validate, validation issue indicated by "
64,eventnexus,Python,3,1,68.5,project_silver_repos/Dj2tqFI5qGPI3ctCfOxq__eventnexus.zip,Investigate and fix security issue indicated by commit 'Add 
65,stockflow,Python,3,1,68.5,project_silver_repos/d6SBDXivGcGAYS93PJGZ__stockflow.zip,Investigate and fix security issue indicated by commit 'Add 
66,MuzNet-mobile,JS/TS,3,1,68.0,project_silver_repos/ukb6GgsSRhS4OBTCXCIH__MuzNet-mobile.zip,Fix: crash bug cause of integer on switch toggle
67,3rd-brain-backend,JS/TS,3,1,67.5,project_silver_repos/1jqg6bKHYy8KiEdxqis8__3rd-brain-backend.zip,"Fix: update auth middleware, error handling, register endpoi"
68,repflow,Python,3,1,66.0,project_silver_repos/wppZw34f4yHVOOzcJG0c__repflow.zip,Fix bearer auth update error handler to show missing require
69,genie-api,Python,3,1,65.5,project_silver_repos/GstLmUs025XBQxrcJLvx__genie-api.zip,Fix a small bug
70,ledge,Python,2,1,64.0,project_silver_repos/PXbLz8CbmbxFQWQF1gWU__ledge.zip,Investigate and fix parser issue indicated by commit 'tests:
71,bulwark,Python,3,1,63.5,project_silver_repos/xHdqqNmmLRNApGIZk1TX__bulwark.zip,"Investigate and fix edge, parser issue indicated by commit '"
72,nota,Python,3,1,63.5,project_silver_repos/xM24WcBVLv23JcpcCOk0__nota.zip,Investigate and fix thread issue indicated by commit 'feat: 
73,openfield,JS/TS,3,1,63.0,project_silver_repos/FNWGFaQsfJiRbcdEujkW__openfield.zip,Fix security linter warnings
74,PRLens,JS/TS,3,1,62.5,project_silver_repos/SiHQyGFqQfkmO7lO1KNm__PRLens.zip,"Investigate and fix edge, auth issue indicated by commit 'fe"
75,rivulet,Python,3,1,62.0,project_silver_repos/BVFtlgghiqiUOo5O74N4__rivulet.zip,"Investigate and fix parser, security issue indicated by comm"
76,frontend_copy,JS/TS,3,1,62.0,project_silver_repos/Amgl4P2B4JxfoCaaHsGG__frontend_copy.zip,"Fix: fixed subscription screen flicker, toaster for client o"
77,moneyflap-core-service,JS/TS,3,1,62.0,project_silver_repos/TujZNTCDnD7P0IWDGcwj__moneyflap-core-service.zip,Fix(administrators): handle auth env extetions
78,Endubis-Wallet-Dev-Backend,JS/TS,3,1,62.0,project_silver_repos/h2JL88J5IFbpvHigYVlh__Endubis-Wallet-Dev-Backend.zip,Fix: Ad transaction fixed by using seedphrase form storage a
79,timewindow-lib,Python,3,1,62.0,project_silver_repos/UVa89hisQtQe3ycHuJTD__timewindow-lib.zip,Investigate and fix parse issue indicated by commit 'feat: p
80,pff-mobile,JS/TS,3,1,62.0,project_silver_repos/eoqDGSn3EK8BVkgIJAs3__pff-mobile.zip,Fixed the iOS download file issue for formula.
81,cart-system,JS/TS,3,1,61.5,project_silver_repos/49NYJ24oWtr6X0he4rWw__cart-system.zip,"Investigate and fix validation, auth issue indicated by comm"
82,zorvyn-finance-rbac-backend,JS/TS,3,1,61.5,project_silver_repos/9BeNLkk3LUSEUt0uA32t__zorvyn-finance-rbac-backend.zip,Fix: validate resource ids as proper ObjectIds
83,Product-Server,JS/TS,2,1,61.5,project_silver_repos/EUUpFNcS8rpKZTVUwNMQ__Product-Server.zip,Investigate and fix auth issue indicated by commit 'auth con
84,PaalSportsBetting,JS/TS,3,1,61.0,project_silver_repos/S8DtF7EIIAipGtcjHJVI__PaalSportsBetting.zip,Fix: add validate tickets logic for invalid ones
85,studio-client,JS/TS,3,1,61.0,project_silver_repos/WetpOR35a2XK61Y1HMqQ__studio-client.zip,"Investigate and fix fix, infinite issue indicated by commit "
86,shoptimizer,JS/TS,3,1,61.0,project_silver_repos/fTu8KbRNT5ZnGVJeSFAT__shoptimizer.zip,"Investigate and fix fix, timeout issue indicated by commit '"
87,cateringhub,unknown,3,1,61.0,project_silver_repos/1IdFaPh6vI9Z4KFajCYT__cateringhub.zip,Investigate and fix auth issue indicated by commit 'menus: e
88,support-chat,JS/TS,3,1,60.5,project_silver_repos/yzUJe2KVJcvSHsmLm5GO__support-chat.zip,Fix: Resolve remaining contact_id null errors and add guest_
89,loreforge,JS/TS,3,1,60.5,project_silver_repos/0Z3RvFFQhbSRXBJsgo73__loreforge.zip,Investigate and fix permission issue indicated by commit 'ad
90,just-numbers-frontend,JS/TS,3,1,59.5,project_silver_repos/v5Z3KuhieMs0irRAu60e__just-numbers-frontend.zip,"Investigate and fix fix, fixed issue indicated by commit '[f"
91,tallow,Python,3,1,59.5,project_silver_repos/4TfW0JCuLC0gWSvwrNmH__tallow.zip,Fix: buffer.take returns empty immediately on closed-and-emp
92,Airflow-Service,Python,3,1,59.5,project_silver_repos/ApLroI9rnbMFd5MoIMTg__Airflow-Service.zip,Investigate and fix auth issue indicated by commit 'Added Au
93,airflow_service,Python,3,1,59.5,project_silver_repos/n7aSzGFIkV78QwGnJSbi__airflow_service.zip,Investigate and fix auth issue indicated by commit 'Added Au
94,control-tower,JS/TS,3,1,59.0,project_silver_repos/j2G8Tmf6alhaeB6doaua__control-tower.zip,Fix Step 15 auto-include + Step 16 validation crash
95,house-price-prediction,Python,3,1,59.0,project_silver_repos/d9AczXFCC8QvQW6229cc__house-price-prediction.zip,"Fix validate_features for numpy arrays, add feature_importan"
96,Tenora-Api,JS/TS,3,1,57.5,project_silver_repos/1AF8O1L47dGcZ3rCP5pI__Tenora-Api.zip,"Investigate and fix validation, edge issue indicated by comm"
97,msgpackd,Go,3,1,57.5,project_silver_repos/r2gK9rOA5SUAgVKpA3qU__msgpackd.zip,"Investigate and fix bug, regression issue indicated by commi"
98,roastboard,Python,3,1,57.5,project_silver_repos/kfqjvYiGFXK4kF2ka3mA__roastboard.zip,Fix(roast): weight loss pct uses green weight as denominator
99,cvideolal,JS/TS,3,1,57.0,project_silver_repos/QbUCyPcpFtnS8mb0hVNL__cvideolal.zip,Fix: load fonts before all layout computations (#240)
100,Nexarch,unknown,3,1,57.0,project_silver_repos/E4my8gcajs4O8r5E4cIJ__Nexarch.zip,Investigate and fix fix issue indicated by commit 'Refactor 
101,vitatrack,JS/TS,3,1,57.0,project_silver_repos/crIWwVLZ6ewhkggLPoM1__vitatrack.zip,Investigate and fix validation issue indicated by commit 'fe
102,deepface-unity-age-estimator,Python,3,1,56.5,project_silver_repos/2ONWLvuJ8D90NBDdRSK3__deepface-unity-age-estimator.zip,"Investigate and fix traversal, path issue indicated by commi"
103,diogenes-ai-leadgen,Python,3,1,56.5,project_silver_repos/0aVyADJfwpYJxMSpnkX9__diogenes-ai-leadgen.zip,"Fix 3 CRM display bugs: companies domainName, deals company "
104,flourich_creator,JS/TS,3,1,56.5,project_silver_repos/kPQfXFAPMI3i6IDhH9az__flourich_creator.zip,Fix bug on studio and profile page.
105,webstore,JS/TS,3,1,56.0,project_silver_repos/qWF7fYEpcZmF2R76TvsO__webstore.zip,Fix landing/auth routing to app subdomain and env setup
106,agentforge,JS/TS,3,1,56.0,project_silver_repos/YDWLdVv3Ts6icd0vEvGZ__agentforge.zip,"Investigate and fix parse, auth issue indicated by commit 't"
107,fleet_logistics_repo,JS/TS,3,1,56.0,project_silver_repos/HKYhoLcO4gRcPJu7fBu9__fleet_logistics_repo.zip,"Investigate and fix validation, edge issue indicated by comm"
108,PrepLane,JS/TS,3,1,55.5,project_silver_repos/oesYoDA55oqhzoGdQcnG__PrepLane.zip,Fix: dictionary API timeout and missing error handling
109,Neurite,JS/TS,3,1,55.5,project_silver_repos/Pz7of0bbpdMrRbVjQpxC__Neurite.zip,Fix Edge Restoration/Improve Function Call Prompt
110,aflam-telegram-bot,unknown,3,1,55.0,project_silver_repos/oyjjw3fpo70fiMrminUe__aflam-telegram-bot.zip,Fix admin authentication validation path
111,trio-new,Python,3,1,55.0,project_silver_repos/4PJzxaWNhjzpYjAjcn5h__trio-new.zip,"Investigate and fix memory, race issue indicated by commit '"
112,budget,Python,3,1,55.0,project_silver_repos/4FU2m7qQrlzyeiujgMDX__budget.zip,Fix syntax errors and test issues across analysis and comman
113,conduit,Python,1,1,55.0,project_silver_repos/CdVOpKbFc7X31hPTONG5__conduit.zip,Fix several bugs surfaced by tests
