rank,repo,language,candidates,strong(>=55),best_score,source_archive,example
231,stagedoor-api,Go,3,0,31.5,project_silver_repos/r7Oip3W7uVxXotkzX1yq__stagedoor-api.zip,Investigate and fix auth issue indicated by commit 'response
232,subsync,Python,3,0,31.5,project_silver_repos/VAvE53qD9jwpOuMGVON5__subsync.zip,Investigate and fix validate issue indicated by commit 'vali
233,csv-to-shopify-flow,JS/TS,3,0,31.0,project_silver_repos/inEIfhmA8IvFURq5Qjlb__csv-to-shopify-flow.zip,Fix rulebook parser for weight index
234,lop-token,JS/TS,3,0,31.0,project_silver_repos/Vs7qBPbKDigtlpC13zQJ__lop-token.zip,Fix: lop supply validation for swap
235,Qwen2Bitnet,unknown,3,0,30.5,project_silver_repos/1VDJfjnCGIVnGT521nkX__Qwen2Bitnet.zip,"Fix: tq_cache overflow warning, realloc leak, rotated_q VLA,"
236,SmallMoE,unknown,3,0,30.5,project_silver_repos/UrghUH5CTW2jqyU0Lg0v__SmallMoE.zip,"Fix: tq_cache overflow warning, realloc leak, rotated_q VLA,"
237,marketx-apis,JS/TS,3,0,30.5,project_silver_repos/Tpn3qWaSgkHIcQbjzjHW__marketx-apis.zip,Fix: remove duplicate controller registrations in app bootst
238,mywhy_app_dart,unknown,3,0,30.0,project_silver_repos/Gjh1sQZhVFqRMNuDdn2h__mywhy_app_dart.zip,Fix(auth): avoid permission error before login
239,monorepo-frontend,JS/TS,3,0,30.0,project_silver_repos/eARSE7PQYgHx5i2f3Fgc__monorepo-frontend.zip,"Investigate and fix fixed, bug issue indicated by commit 'bu"
240,MABATIIQ,unknown,1,0,30.0,project_silver_repos/u950TbNMk4XIwP5iNNmI__MABATIIQ.zip,Fixes to profiling
241,workflow-engine,Python,3,0,29.5,project_silver_repos/Ej4FI2J4cm00XsDJ2r45__workflow-engine.zip,Fix: note None-comparison edge case in ConditionAction
242,comm-sfu,JS/TS,3,0,29.5,project_silver_repos/EKmL7efghFCYekQyBmMh__comm-sfu.zip,Fixing a bug
243,Junehavens-Solution-V2,Python,3,0,29.0,project_silver_repos/I2LH3oCQ9usNIQRskTJ8__Junehavens-Solution-V2.zip,Fix: replace all Unicode checkmark characters with [OK] text
244,PrimeElements_Backend,unknown,3,0,29.0,project_silver_repos/PN5vquy8dkApuNB1LArQ__PrimeElements_Backend.zip,Investigate and fix infinite issue indicated by commit 'impl
245,loom,Python,3,0,28.5,project_silver_repos/cVpER4vnD1jg30eqOAzQ__loom.zip,"Investigate and fix parse, parser issue indicated by commit "
246,subhan-traders-pos,JS/TS,3,0,28.0,project_silver_repos/BrolG6dfmEuf7USOq9SL__subhan-traders-pos.zip,Fixed infinite scroll bug in the pos layout
247,TradeVault,Java,3,0,28.0,project_silver_repos/1HZmVhJcjpPcGb0BZReP__TradeVault.zip,Fix whitespace in AccountControllerTest
248,pyro-http2,Go,3,0,27.5,project_silver_repos/GnXe0JkVTDi26pkph0sT__pyro-http2.zip,Fix: return bytes from encode/decode functions and wrap Pyth
249,Perplexica,JS/TS,3,0,26.0,project_silver_repos/HWpxZHaTjvwLGQ8J4Gs8__Perplexica.zip,"Investigate and fix fix, infinite issue indicated by commit "
250,petobots-gen2-web3,JS/TS,3,0,26.0,project_silver_repos/rNi32ulTZkdlBp627TEM__petobots-gen2-web3.zip,Fix: .env.template fixed
251,healthcare-integration-platform,JS/TS,3,0,26.0,project_silver_repos/TuevM9SmME9LIkt9XB64__healthcare-integration-platform.zip,"Investigate and fix fix, path issue indicated by commit 'tes"
252,luminosana.abcloudpanel.com,JS/TS,3,0,26.0,project_silver_repos/zjORLuQgJicgVjSc74hP__luminosana.abcloudpanel.com.zip,Fixed redirect issue after login...
253,olive-backend,JS/TS,3,0,26.0,project_silver_repos/cBtdY5UtiIQdWCSraWVA__olive-backend.zip,Fix decimal issue on tp/sl
254,shoply,JS/TS,3,0,26.0,project_silver_repos/LC6VOb0ILQv1AOrsryGb__shoply.zip,"Fix: remove illegal object exports from ""use server"" action "
255,Lo_Vi,JS/TS,3,0,24.5,project_silver_repos/EnGIFIcqWcaAmpYP9SaF__Lo_Vi.zip,"Fixed a Bug with a component ""Google Gemini Effect"""
256,zendesk,Python,3,0,24.5,project_silver_repos/nxePVWTK4sCsvryDs25r__zendesk.zip,"Fix(zendesk,todoist): update internal ports to 8004"
257,CommitCraft,JS/TS,3,0,24.5,project_silver_repos/YEFuBfqu0OJfZOsZzc5i__CommitCraft.zip,Investigate and fix parser issue indicated by commit 'feat(c
258,bynaus-ai-companion,Python,3,0,24.0,project_silver_repos/WoTy8fuKzbnsbJ3f68LA__bynaus-ai-companion.zip,Fix: resolve email sync crash (associations=None) and SysEng
259,secure-pesa,Python,3,0,23.5,project_silver_repos/9mFaZDTGr6cSopbSHvR0__secure-pesa.zip,Fix(disputes): update class names to follow convention
260,AdvisoryStudioCore,unknown,3,0,23.5,project_silver_repos/vlv2G92Rz4s9jRvlCwbo__AdvisoryStudioCore.zip,"Investigate and fix fix, bug issue indicated by commit 'mcp "
261,harbor-sim,Python,3,0,23.5,project_silver_repos/V8iVpRiPF25Ft6ohNl2y__harbor-sim.zip,"Investigate and fix decode, encode issue indicated by commit"
262,cobble,Go,3,0,23.0,project_silver_repos/7zycjUbYOV4ETBSU5wls__cobble.zip,"Investigate and fix auth, canonical issue indicated by commi"
263,runtime-observability-suite-plus,Python,3,0,22.5,project_silver_repos/fd4eoS738YguSlL5dIYJ__runtime-observability-suite-plus.zip,Investigate and fix validation issue indicated by commit 'Ad
264,casino-client,JS/TS,3,0,21.5,project_silver_repos/Byie9Hp4KC66Rd84c8G4__casino-client.zip,Fix crash gape graph position
265,hunt,Python,3,0,21.5,project_silver_repos/cXLLvzfIwZfm0S78Kvi3__hunt.zip,Fix: handle edge cases in salary parsing and geo normalizati
266,flourich_customer,JS/TS,3,0,21.0,project_silver_repos/cAsTkK6VjkGpENaeyMLT__flourich_customer.zip,Fix  bug on chat logic
267,borough,Go,3,0,21.0,project_silver_repos/gcH2RMvnK0fwAqzmpDoS__borough.zip,"Investigate and fix nil, path issue indicated by commit 'pkg"
268,blueberryapp,JS/TS,3,0,21.0,project_silver_repos/X43TTmiG4S6okzy3YJY6__blueberryapp.zip,Fix
269,degime-frontend,JS/TS,3,0,21.0,project_silver_repos/5WTONwwiV7zhR02EBvI4__degime-frontend.zip,Fix code
270,HoodiePersona,JS/TS,3,0,21.0,project_silver_repos/CW2xp52w9oO5kprE5Cac__HoodiePersona.zip,Fix update issue
271,RatifiedTech,JS/TS,3,0,21.0,project_silver_repos/TjgD8wRBhJmocyCIhc08__RatifiedTech.zip,Fixed broken links:
272,winassist_dev,unknown,3,0,21.0,project_silver_repos/uyPQfKWnBhlcX4PPfXdG__winassist_dev.zip,Fix
273,easyschoolUI,JS/TS,3,0,20.0,project_silver_repos/IopLkULrkSzkQK8k2raA__easyschoolUI.zip,Fix(auth): return UrlTree from guard and treat empty-string 
274,corpo-base,Java,3,0,20.0,project_silver_repos/rBMTkgPe6OlTvqRMVk7Z__corpo-base.zip,Fix thru() declaration
275,digitide-wafers-portal,Java,3,0,20.0,project_silver_repos/Vz9C2mzrqoFCrSgZpOVQ__digitide-wafers-portal.zip,Fixed Update API for QuickLinkSubHeaderService
276,rex,Go,3,0,19.5,project_silver_repos/ZLve5UTyEi2UB7JjZyQW__rex.zip,"Investigate and fix parser, traversal issue indicated by com"
277,freightline-api,Go,3,0,19.5,project_silver_repos/Va3pZ987rnG4WpcgwLNz__freightline-api.zip,Investigate and fix security issue indicated by commit 'requ
278,au-dispatch-final,unknown,1,0,19.5,project_silver_repos/ioP20L3jPjCvRkNchE7m__au-dispatch-final.zip,Investigate and fix auth issue indicated by commit 'Implemen
279,vesto-backend,unknown,3,0,19.0,project_silver_repos/tb2HsgfXjZv7WcC1ztmy__vesto-backend.zip,Fixed permission issues in notification service and configur
280,inboxAI,unknown,3,0,18.0,project_silver_repos/MWtLLJq4YNMN66DGmYg7__inboxAI.zip,"Investigate and fix fixed, bug issue indicated by commit 'du"
281,mlboost,JS/TS,1,0,16.0,project_silver_repos/9HJnbCPJuMtvfxce39it__mlboost.zip,Investigate and fix path issue indicated by commit 'Add disc
282,37-team-manga,unknown,3,0,14.5,project_silver_repos/czgljwipkMtTBz2ZObVF__37-team-manga.zip,Fix purchase bug
283,AssetVault,unknown,3,0,14.5,project_silver_repos/uR4KQeCcjiUcnsZyZXZm__AssetVault.zip,"Investigate and fix auth, security issue indicated by commit"
284,hatch-api-subm,JS/TS,3,0,14.0,project_silver_repos/BgKFM5Wrv4Is0huoeeZ4__hatch-api-subm.zip,Fix(auth): refresh token endpoint was not revoking old token
285,inventory-api,Go,3,0,13.5,project_silver_repos/vzsCkjTsvukPKcDuSGbZ__inventory-api.zip,Investigate and fix auth issue indicated by commit 'auth mid
286,Shutter_Back-end,unknown,3,0,13.0,project_silver_repos/u37Wgc3p11qFjqCyXmmt__Shutter_Back-end.zip,Fixed a bug  error message when creating an appointment.
287,streamgraph,Python,2,0,13.0,project_silver_repos/S1Q0z1nYlrVXShOqF9zZ__streamgraph.zip,Investigate and fix validation issue indicated by commit 'ad
288,messaging-ui,JS/TS,3,0,12.0,project_silver_repos/F0HoIKfPjdNbdUcgLCkQ__messaging-ui.zip,Fix client-side timeout for large file messages
289,DABB.ai,Python,3,0,11.0,project_silver_repos/eZADSQBOezQn8oSvoUpI__DABB.ai.zip,Investigate and fix validation issue indicated by commit 'Ad
290,Problembox,JS/TS,2,0,10.0,project_silver_repos/O8kUsFwD48MviL9OW8jo__Problembox.zip,Investigate and fix auth issue indicated by commit 'feat(aut
291,4corners,JS/TS,3,0,9.5,project_silver_repos/i8Pe45P0CTEruzcsVvlE__4corners.zip,"Investigate and fix fixed, validation issue indicated by com"
292,eventcater,unknown,3,0,9.5,project_silver_repos/ClSXmFEEyTnSWcmOk68s__eventcater.zip,Investigate and fix security issue indicated by commit 'prop
293,kebede-butchery-ms,JS/TS,3,0,9.0,project_silver_repos/z3vVV371SItTs2rELSsi__kebede-butchery-ms.zip,Fix CSRF referer checking issue - Disable CSRF_USE_REFERER f
294,petobots-gen2-indexer-web3,JS/TS,3,0,7.0,project_silver_repos/pB5moQIDAA6e1IXjHDKN__petobots-gen2-indexer-web3.zip,"Fix: process(), add timeout"
295,weprocess-web-fe,JS/TS,3,0,6.0,project_silver_repos/KG8UdfknCytBHh2qMnO5__weprocess-web-fe.zip,Fix(seo): update SEO import paths and canonical URLs for Sig
296,cateringops,unknown,3,0,6.0,project_silver_repos/vcyIfZmsXbePuIXcrVxQ__cateringops.zip,Investigate and fix auth issue indicated by commit 'menu: en
297,eben-referral-frontend,JS/TS,3,0,6.0,project_silver_repos/YhD1lFV8pEXNnQK8fNrQ__eben-referral-frontend.zip,Fix
298,vibesphere-campus,JS/TS,3,0,6.0,project_silver_repos/KbVHDNT0NHogy0ikjUr8__vibesphere-campus.zip,Fixed post route
299,Anton_wireframe,Python,3,0,5.5,project_silver_repos/Cqbkv3wYLNmYm3iNHq7J__Anton_wireframe.zip,Fix database URL in db.py and update import path for schemas
300,book_1,JS/TS,3,0,5.0,project_silver_repos/b2KSMTGAZvIaEShXNgxf__book_1.zip,Fix bug...
301,fba_support,JS/TS,3,0,5.0,project_silver_repos/FzLX1aBgo3UHYr9zhABn__fba_support.zip,"Investigate and fix fix, bug issue indicated by commit 'bug "
302,qraft,Python,3,0,4.5,project_silver_repos/rSJtA9a9tO6co3yvx338__qraft.zip,"Investigate and fix timeout, regression issue indicated by c"
303,flowpipe,JS/TS,3,0,1.5,project_silver_repos/ookv8Icm8eRK9UsioV6z__flowpipe.zip,Fix: joinTransform — null/undefined keys are now unmatchable
304,ss-inbound-fulfillment,JS/TS,3,0,1.5,project_silver_repos/cSeHRVKCSLS9Pitdm3Nb__ss-inbound-fulfillment.zip,Fix duplication bug
305,TerraBloom,JS/TS,3,0,1.0,project_silver_repos/cQZcNJbYBwxfdXhfEjms__TerraBloom.zip,Fix x overflow
306,frontend,JS/TS,3,0,1.0,project_silver_repos/vsySzM2m8luLCynDH6uP__frontend.zip,Fix reading eth of null issue
307,BomaSuite-Dashboards,JS/TS,3,0,1.0,project_silver_repos/edXvyXoWKt7yOKPK2UGZ__BomaSuite-Dashboards.zip,Fixed dashboard layout
308,dogstar-mylab,JS/TS,3,0,1.0,project_silver_repos/JozLGYYVNEF0WeJssxNE__dogstar-mylab.zip,Fix the prettier issues
309,ticket-management-system-tms01,JS/TS,3,0,1.0,project_silver_repos/7vLzOK7Pkfs4Pr1i6Ndk__ticket-management-system-tms01.zip,Fixed-endpoint urls for twilio-intg.
310,cobol_analyzer,Python,3,0,-2.0,project_silver_repos/yEuULL97YrxW8WkXYjYl__cobol_analyzer.zip,Fix minor regression
311,ebm_core,Python,3,0,-2.0,project_silver_repos/2ZBtf0KeVF8U4ZOQsagE__ebm_core.zip,Fix minor regression
312,kelpfinder,JS/TS,3,0,-2.0,project_silver_repos/YgpVuo6EBo53ejg2rN6u__kelpfinder.zip,Fixtures: draft-04 integer cases
313,Numin-Trading-Dashboard,Python,3,0,-2.0,project_silver_repos/M0qxY06hlwG5C5FSJzuK__Numin-Trading-Dashboard.zip,"Investigate and fix fix, bug issue indicated by commit 'Bug "
314,verifyy-2.0,unknown,3,0,-4.0,project_silver_repos/Ct3ttzbiIkYUbs6OtzPb__verifyy-2.0.zip,Fix auth service
315,stampmill,JS/TS,3,0,-4.0,project_silver_repos/DWDMAPN5R6Od0Ty5VG1p__stampmill.zip,Fix: add decl parser logic
316,portfolio-v3,unknown,3,0,-5.5,project_silver_repos/p13ssvjv5DalecNs99jE__portfolio-v3.zip,Fix bug
317,JobSeachBlitzApp,Python,3,0,-6.5,project_silver_repos/yOcAKhXEdhueyyxlfR0B__JobSeachBlitzApp.zip,Fix(auth): fix validation in index
318,LegAi,Python,3,0,-6.5,project_silver_repos/DwcwDyY9JHTcbELyAHKg__LegAi.zip,"Investigate and fix unicode, path issue indicated by commit "
319,queryweave,Python,2,0,-7.5,project_silver_repos/p7HYj4fF183Fhm5xSqg5__queryweave.zip,Investigate and fix parser issue indicated by commit 'parser
320,trading-tools-nodejs,JS/TS,3,0,-8.0,project_silver_repos/3YdquHz9m7GNp8EQDtqW__trading-tools-nodejs.zip,Fix: handle null values in technical indicator input arrays
321,dataweave,Python,3,0,-11.0,project_silver_repos/MKKtboXSHDNRlGEUTHoV__dataweave.zip,Fix
322,visionaries,JS/TS,3,0,-11.5,project_silver_repos/HqFJq95TLfNA6h5L5f1D__visionaries.zip,Fix: overflow width
323,MGF,Go,3,0,-11.5,project_silver_repos/PFafJP4GGqMfxFQlGUSv__MGF.zip,Fix bug
324,make-parent,Java,3,0,-11.5,project_silver_repos/ICfjtI5tQSWIsEtRoZbh__make-parent.zip,Fix potential null reference in RequestInfo exception format
325,querycraft-repo,JS/TS,3,0,-12.0,project_silver_repos/ax0kFMkToFfdXC9EF8NK__querycraft-repo.zip,Fix compiledGet crash on null intermediates (#12)
326,vaultkey,Python,1,0,-12.0,project_silver_repos/m79hsogUkkqCHC8WRIli__vaultkey.zip,Investigate and fix auth issue indicated by commit 'add auth
327,tong,unknown,1,0,-12.5,project_silver_repos/jizccagbyBHYdK1KNir0__tong.zip,Fix admin.py indentation error at Club registration
328,EPS,JS/TS,3,0,-14.0,project_silver_repos/4ftTvzHr9dTpHfchHPJE__EPS.zip,"Investigate and fix fixed, bug issue indicated by commit 'Ke"
329,tinsu-bona-school,Java,3,0,-15.0,project_silver_repos/wHFj3WBYt9uMO8uwKbBt__tinsu-bona-school.zip,Fix test
330,mtp-particle-sizing,Python,3,0,-15.5,project_silver_repos/jvEeUJ2uWsk1r6LmJNae__mtp-particle-sizing.zip,Fix: validate_transmittance now checks for nan and inf expli
331,fleetops,Python,3,0,-15.5,project_silver_repos/vFF3IBWq47QkuXXBVDSq__fleetops.zip,Fix: concurrent modification handling
332,Chroma-Client,JS/TS,3,0,-17.5,project_silver_repos/bZrDBBNIdKGTRzokE0GR__Chroma-Client.zip,Fix: patch memory leak in useEffect
333,a2sv-application-tracker,JS/TS,3,0,-18.5,project_silver_repos/mIos68qTowzTG9PlHBWW__a2sv-application-tracker.zip,Fix bug for deployment
334,apr,JS/TS,3,0,-18.5,project_silver_repos/r9cqcPP6NKOJiJoMl7CE__apr.zip,Fix: :bug: closed status check
335,weprocess-laravel-be,JS/TS,3,0,-18.5,project_silver_repos/YNhuVb8uhpZkcZTRtRgn__weprocess-laravel-be.zip,Fix: Sanitize statement input in ServeSosService
336,pulseguard-reconstructed,Python,3,0,-19.0,project_silver_repos/74wMrp0vcELHRoOIPKjN__pulseguard-reconstructed.zip,Fix: add _validate_suppression_window() to AlertDeduplicator
337,forge-idp,unknown,3,0,-19.0,project_silver_repos/azHcKU0we3bcZc7UTWXB__forge-idp.zip,Fix Fernet key derivation memory leak
338,dogstar-backend,JS/TS,3,0,-19.0,project_silver_repos/kxeSUkeYGxaGvWur7zK4__dogstar-backend.zip,Fix: Convert startingBalance to Number for validation in Cre
339,DomiSource-Realtor-Profiles,JS/TS,3,0,-19.0,project_silver_repos/j81fgvFaP9phUrkeWoJp__DomiSource-Realtor-Profiles.zip,Fix: add validation for id parameter in SSR profile route
340,booking-ledger,Python,3,0,-19.5,project_silver_repos/eDMZbYG84O9nkn4xr1EO__booking-ledger.zip,Fix: Fix memory leak in reports
341,mydsa,Python,3,0,-19.5,project_silver_repos/XbTpGOH2SEwlEKt6Hp1q__mydsa.zip,Fix: prevent infinite loop on empty input in kosaraju.py
342,larder,JS/TS,3,0,-20.0,project_silver_repos/AoXLeSY4JSGf6IR7GAMr__larder.zip,Fix(intake): grok-flow sets archivedAt to null on reuse
343,datapipe,Python,3,0,-20.0,project_silver_repos/7KridXJ4yYpBAcx7v953__datapipe.zip,Fix(config): _deep_merge must not mutate the base dict
344,hinglish-voice-collection-agent,Python,3,0,-21.0,project_silver_repos/sVZ8WybOvPYMXlWU9ETG__hinglish-voice-collection-agent.zip,Fix(turn_processor): include turn index and canonical amount
345,bolt.new-any-llm,JS/TS,6,0,-24.0,project_silver_repos/7lYiFL5uEMvJgBKmvBCk__bolt.new-any-llm.zip,Fix: preserve complete provider settings in cookies
346,service-transaction,Java,3,0,-24.0,project_silver_repos/8k8HEKs0rPF5pq4S47uk__service-transaction.zip,Fix chargeside for transaction fee table
347,fintechmiplata,Java,3,0,-25.5,project_silver_repos/UCanRTkRu1IWCpq6fszg__fintechmiplata.zip,"Investigate and fix null, integer issue indicated by commit "
348,sacs,unknown,6,0,-26.5,project_silver_repos/rC3v0v46PTizvNmETrG5__sacs.zip,Fix: update jwt.decode to pass algorithms as list for PyJWT 
349,nexus,Python,1,0,-27.5,project_silver_repos/2Rw3WG0nVuyE3l88ESmZ__nexus.zip,Fix
350,shrishiv_backend,Java,2,0,-31.5,project_silver_repos/qBgP7Eln76scOlO2Q2WI__shrishiv_backend.zip,Investigate and fix security issue indicated by commit 'Modi
351,intervew_project-,unknown,2,0,-32.5,project_silver_repos/Ij0rXTRdAv4fZTHHgcJX__intervew_project-.zip,Fix: add password minimum length validation on signup
